evaluator,group,label,precision,recall,f1,support
Student Majority (Filtered),human,limited,0.7,0.25925925925925924,0.37837837837837834,27.0
Expert Individual (Pooled),human,exceptional,0.38461538461538464,0.20833333333333334,0.2702702702702703,96.0
Expert Individual (Pooled),human,strong,0.3253968253968254,0.4270833333333333,0.36936936936936937,96.0
Expert Individual (Pooled),human,fair,0.3401360544217687,0.5208333333333334,0.4115226337448559,96.0
Expert Individual (Pooled),human,limited,0.4745762711864407,0.2916666666666667,0.36129032258064514,96.0
Student Individual (Pooled),human,exceptional,0.3646055437100213,0.27056962025316456,0.31062670299727524,632.0
Student Individual (Pooled),human,strong,0.29508196721311475,0.3412322274881517,0.31648351648351647,633.0
Student Individual (Pooled),human,fair,0.28,0.37658227848101267,0.3211875843454791,632.0
Student Individual (Pooled),human,limited,0.3736951983298539,0.28278041074249605,0.32194244604316546,633.0
Student Matched-N Consensus (Expert Sized),human,exceptional,0.6875,0.36666666666666664,0.47826086956521735,30.0
Student Matched-N Consensus (Expert Sized),human,strong,0.3333333333333333,0.43333333333333335,0.37681159420289856,30.0
Student Matched-N Consensus (Expert Sized),human,fair,0.36,0.6,0.45,30.0
Student Matched-N Consensus (Expert Sized),human,limited,0.6,0.3,0.4,30.0
