figure,panel,visual_claim,plotted_value,source_file,source_field,transformation,ci_method,script_function,output_file
Fig 3,C,Expert per-rater accuracy distribution (N=48),"mean=36.2%, sd=20.51%",data/management_deep_probe/human_ratings/expert_ratings_deidentified.jsonl,ratings[].q2_rating vs. level,per-rater fraction correct,n/a (histogram),per_rater_accuracy,"fig3.pdf, fig3.png"
Fig 3,C,Junior per-rater accuracy distribution (N=174 canonical / 175 response_ids),"mean=31.7%, sd=14.23%",data/management_deep_probe/human_ratings/student_ratings_deidentified.jsonl,ratings[].q2_rating vs. level,per-rater fraction correct (filtered),n/a (histogram),per_rater_accuracy,"fig3.pdf, fig3.png"
Fig 3,C,Five vertical-line callouts (chance / expert mean / junior mean / expert maj / junior maj),25.0 / 36.2 / 31.7 / 41.6 / 40.8 (%),data/management_deep_probe/statistics/S05_AIvsHumanStats.json,"grand_comparison['Expert Indiv. Average', 'Student Indiv. Average', 'Expert Majority (excl. ties)', 'Student Majority (full, excl. ties)']",multiplied by 100; rendered as axvline + leader-line callout,n/a,draw_panel_c (axvline + ax.annotate leaders),"fig3.pdf, fig3.png"
Fig 3,D,Best frontier (Gemini 3.1 Pro) recall on exceptional,37.9%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best frontier (Gemini 3.1 Pro) recall on strong,44.8%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best frontier (Gemini 3.1 Pro) recall on fair,60.7%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best frontier (Gemini 3.1 Pro) recall on limited,13.8%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Junior majority (excl. ties) recall on exceptional,33.3%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Junior majority (excl. ties) recall on strong,38.5%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Junior majority (excl. ties) recall on fair,65.4%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Junior majority (excl. ties) recall on limited,25.9%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Expert majority (excl. ties) recall on exceptional,22.7%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Expert majority (excl. ties) recall on strong,59.1%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Expert majority (excl. ties) recall on fair,52.0%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Expert majority (excl. ties) recall on limited,30.0%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best SFT (Qwen3-4B) recall on exceptional,80.0%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best SFT (Qwen3-4B) recall on strong,56.7%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best SFT (Qwen3-4B) recall on fair,53.3%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,Best SFT (Qwen3-4B) recall on limited,46.7%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,SFT 2-model ensemble recall on exceptional,76.7%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,SFT 2-model ensemble recall on strong,53.3%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,SFT 2-model ensemble recall on fair,60.0%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
Fig 3,D,SFT 2-model ensemble recall on limited,53.3%,data/management_deep_probe/statistics/S05_AIvsHumanStats.json,grand_comparison[evaluator].per_tier_accuracy,multiplied by 100; rounded to 1dp,n/a,draw_panel_d,"fig3.pdf, fig3.png"
