figure,panel,claim,field,metric,value,n_models,source_file,source_path
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",PubAd,mean_conf_correct (3 SFT),0.6647,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",PubAd,mean_conf_incorrect (3 SFT),0.5342,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",PubAd,conf_gap (3 SFT),0.1305,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),PubAd,mean_conf_correct (qwen30b_sft),0.6999,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__public_administration].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),PubAd,mean_conf_incorrect (qwen30b_sft),0.5654,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__public_administration].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),PubAd,mean_conf_correct (qwen4b_sft),0.6776,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__public_administration].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),PubAd,mean_conf_incorrect (qwen4b_sft),0.5472,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__public_administration].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),PubAd,mean_conf_correct (gpt41nano_sft),0.6166,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__public_administration].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),PubAd,mean_conf_incorrect (gpt41nano_sft),0.4901,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__public_administration].mean_conf_incorrect
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",Comm,mean_conf_correct (3 SFT),0.7195,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",Comm,mean_conf_incorrect (3 SFT),0.6046,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",Comm,conf_gap (3 SFT),0.1149,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),Comm,mean_conf_correct (qwen30b_sft),0.7855,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__communication].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Comm,mean_conf_incorrect (qwen30b_sft),0.6644,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__communication].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Comm,mean_conf_correct (qwen4b_sft),0.6904,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__communication].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Comm,mean_conf_incorrect (qwen4b_sft),0.5634,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__communication].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Comm,mean_conf_correct (gpt41nano_sft),0.6827,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__communication].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Comm,mean_conf_incorrect (gpt41nano_sft),0.586,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__communication].mean_conf_incorrect
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",BusFin,mean_conf_correct (3 SFT),0.7352,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",BusFin,mean_conf_incorrect (3 SFT),0.6192,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",BusFin,conf_gap (3 SFT),0.1159,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),BusFin,mean_conf_correct (qwen30b_sft),0.8021,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__business_finance].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),BusFin,mean_conf_incorrect (qwen30b_sft),0.6941,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__business_finance].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),BusFin,mean_conf_correct (qwen4b_sft),0.703,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__business_finance].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),BusFin,mean_conf_incorrect (qwen4b_sft),0.5772,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__business_finance].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),BusFin,mean_conf_correct (gpt41nano_sft),0.7003,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__business_finance].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),BusFin,mean_conf_incorrect (gpt41nano_sft),0.5864,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__business_finance].mean_conf_incorrect
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",PolSci,mean_conf_correct (3 SFT),0.673,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",PolSci,mean_conf_incorrect (3 SFT),0.5904,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",PolSci,conf_gap (3 SFT),0.0826,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),PolSci,mean_conf_correct (qwen30b_sft),0.7655,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__political_science].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),PolSci,mean_conf_incorrect (qwen30b_sft),0.6733,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__political_science].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),PolSci,mean_conf_correct (qwen4b_sft),0.6387,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__political_science].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),PolSci,mean_conf_incorrect (qwen4b_sft),0.5767,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__political_science].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),PolSci,mean_conf_correct (gpt41nano_sft),0.6148,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__political_science].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),PolSci,mean_conf_incorrect (gpt41nano_sft),0.5211,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__political_science].mean_conf_incorrect
Fig.4,A,"Mean predicted probability on chosen label, when correct (3-SFT mean)",Mgmt,mean_conf_correct (3 SFT),0.7475,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_correct (mean over 3 SFT models)
Fig.4,A,"Mean predicted probability on chosen label, when incorrect (3-SFT mean)",Mgmt,mean_conf_incorrect (3 SFT),0.6801,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[<model>__<field>].mean_conf_incorrect (mean over 3 SFT models)
Fig.4,A,"Confidence gap (correct − incorrect, 3-SFT mean)",Mgmt,conf_gap (3 SFT),0.0674,3,data/cross_field_standardized/statistics/cross_field_calibration_data.json,"derived: mean_conf_correct − mean_conf_incorrect, then averaged over 3 SFT"
Fig.4,A,Per-model mean P(correct) (jittered dot),Mgmt,mean_conf_correct (qwen30b_sft),0.7551,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__management].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Mgmt,mean_conf_incorrect (qwen30b_sft),0.657,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen30b_sft__management].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Mgmt,mean_conf_correct (qwen4b_sft),0.9089,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__management].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Mgmt,mean_conf_incorrect (qwen4b_sft),0.899,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[qwen4b_sft__management].mean_conf_incorrect
Fig.4,A,Per-model mean P(correct) (jittered dot),Mgmt,mean_conf_correct (gpt41nano_sft),0.5784,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__management].mean_conf_correct
Fig.4,A,Per-model mean P(incorrect) (jittered dot),Mgmt,mean_conf_incorrect (gpt41nano_sft),0.4844,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,calibration[gpt41nano_sft__management].mean_conf_incorrect
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov10,100.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov15,100.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov20,97.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov25,98.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov33,96.97,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov50,98.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Psych,acc@cov100,85.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__psychology_multidisciplinary][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov10,95.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov15,96.67,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov20,95.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov25,94.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov33,87.88,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov50,83.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Sociol,acc@cov100,65.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__sociology][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov10,100.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov15,100.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov20,97.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov25,98.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov33,98.48,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov50,89.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Econ,acc@cov100,69.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__economics][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov10,95.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov15,93.33,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov20,90.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov25,86.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov33,81.82,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov50,69.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PubAd,acc@cov100,55.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__public_administration][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov10,100.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov15,96.67,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov20,92.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov25,92.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov33,83.33,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov50,79.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),Comm,acc@cov100,67.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__communication][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov10,95.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov15,90.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov20,92.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov25,80.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov33,74.24,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov50,67.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),BusFin,acc@cov100,53.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__business_finance][100].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov10,80.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][10].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov15,73.33,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][15].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov20,67.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][20].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov25,72.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][25].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov33,74.24,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][33].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov50,69.0,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][50].accuracy
Fig.4,B,Selective-prediction accuracy at coverage K (Qwen3-30B SFT),PolSci,acc@cov100,58.5,1,data/cross_field_standardized/statistics/cross_field_calibration_data.json,selective_prediction[qwen30b_sft__political_science][100].accuracy
